Species,Month,Year,Date,Jday,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,Gonad.stage,Run.sperm,MOD,Yolky.ova,Uter.stage,Maturity.Stage,Maternity.Stage,Emb,EmbTL,Embryo,Male.Emb,Female.Emb,Vertebrae,PCL.Vert,AgeAgree
SSS,12,2008,19/11/08,324,R0114,870,1090,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA
SSS,9,2008,13/08/08,226,315081,864,1100,789,7.9,f,n,NA,NA,NA,NA,NA,NA,5,1,1,2,NA,FALSE,2,0,FALSE,NA,4.75
SSS,12,2008,18/11/08,323,315146,909,1162,NA,8,f,n,NA,NA,NA,NA,5,0,5,1,1,2,438,FALSE,2,0,TRUE,NA,5
SSS,12,2008,18/11/08,323,315136,919,1155,NA,10.2,f,n,NA,NA,NA,NA,3,0,5,1,1,4,441.5,FALSE,4,1,TRUE,NA,6
SSS,12,2008,18/11/08,323,315142,956,1207,NA,10.9,f,n,NA,NA,NA,NA,4,0,5,1,1,4,438.5,FALSE,2,2,TRUE,NA,9
SSS,9,2008,13/08/08,226,317062,860,1120,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.75
SSS,12,2008,18/11/08,323,315144,931,1162,NA,NA,f,n,NA,NA,NA,NA,NA,0,5,1,1,3,449.7,FALSE,1,2,TRUE,NA,7
SSS,9,2008,13/08/08,226,317064,830,1060,NA,NA,m,NA,87,y,2,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,6.75
SSS,12,2008,18/11/08,323,315147,940,1200,855,NA,f,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,427.6,FALSE,NA,NA,TRUE,NA,6
SSS,12,2008,18/11/08,323,315143,988,1261,NA,11.1,f,n,NA,NA,NA,NA,7,0,5,1,1,4,457.25,FALSE,NA,NA,TRUE,NA,9
SSS,12,2008,18/11/08,323,315135,968,1243,NA,NA,f,n,NA,NA,NA,NA,7,0,5,1,1,4,458,FALSE,1,3,TRUE,NA,6
SSS,9,2008,13/08/08,226,317058,835,1050,NA,NA,m,n,110,y,3,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.75
SSS,12,2008,19/11/08,324,R0115,850,1100,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA
SSS,2,2008,NA,NA,U26,NA,NA,NA,NA,m,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA
SSS,12,2008,18/11/08,323,315133,1015,1245,920,13.75,f,n,NA,NA,NA,NA,9,0,5,1,1,4,443.5,FALSE,3,1,TRUE,NA,NA
SSS,12,2008,13/11/08,318,296701,910,1130,NA,NA,m,NA,85,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA
SSS,12,2008,13/11/08,318,296705,880,1030,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,3
SSS,4,2008,NA,NA,R0008,730,945,NA,NA,m,n,NA,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA
SSS,5,2008,8/04/08,99,215952,836,1055,760,NA,m,n,73,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.417
